"Year","L75","L25","Lmed","L90","L95","Lmean","Lc","LFeM","Lmaxy","Lmat","Lopt","Linf","Lmax5","Lmean_LFeM","Lc_Lmat","L25_Lmat","Lmean_Lmat","Lmean_Lopt","L95_Linf","Lmaxy_Lopt","Lmax5_Linf","Pmega","Pmegaref"
2016,38.5,30.5,34.5,43.5,47.5,36.112612612612615,28.5,40.297560975609755,30.5,32.31,50.683516483516485,76.87,51.76470470908984,0.8961488422207464,0.8820798514391829,0.9439801918910553,1.1176915076636524,0.7125119786105867,0.6179263691947443,0.6017735570877238,0.6734058112279152,0.005077062556663644,0.3
2017,39.5,34.5,37.5,42.5,45.5,38.85602094240838,34.5,44.834146341463416,38.5,32.31,50.683516483516485,76.87,46.934464788530356,0.8666613309970316,1.0677808727948004,1.0677808727948004,1.2026004624700828,0.7666401946487928,0.5919084168075972,0.7596158015697497,0.6105693350921081,0,0.3
2018,38.5,30.5,34.5,43.5,47.5,36.19282425172678,28.5,40.297560975609755,38.5,32.31,50.683516483516485,76.87,51.59944139113136,0.8981393259416525,0.8820798514391829,0.9439801918910553,1.1201740715483375,0.714094576754507,0.6179263691947443,0.7596158015697497,0.6712559046589223,0.004867872044506259,0.3
2019,36.5,28.5,32.5,40.5,45.5,33.36450699533644,24.5,37.27317073170732,32.5,32.31,50.683516483516485,76.87,49.5832669023264,0.8951346596052834,0.7582791705354379,0.8820798514391829,1.0326371710101034,0.6582910837725199,0.5919084168075972,0.6412341182082303,0.6450275387319683,0.005122784192551634,0.3
